This file was created by CMPT_ME_BEME_RETS_DAILY using the 202212 CRSP database.,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,
18/10/2022,1.19,-0.12,0,0.011
17/10/2022,2.74,0.67,-1.42,0.011
14/10/2022,-2.46,-0.46,1.21,0.011
13/10/2022,2.4,-0.62,1.57,0.011
12/10/2022,-0.27,0.09,0.01,0.011
11/10/2022,-0.7,0.55,0.32,0.011
10/10/2022,-0.81,0.05,0.77,0.011
07/10/2022,-2.91,-0.63,1.67,0.011
06/10/2022,-0.86,0.53,0.12,0.011
05/10/2022,-0.22,-0.36,0.08,0.011
04/10/2022,3.3,0.76,-0.06,0.011
03/10/2022,2.55,-0.25,0.69,0.011
30/09/2022,-1.42,0.5,0.27,0.009
29/09/2022,-2.17,-0.46,0.86,0.009
28/09/2022,2.15,0.9,-0.33,0.009
27/09/2022,-0.05,0.63,-0.93,0.009
26/09/2022,-1.02,0.17,-0.75,0.009
23/09/2022,-1.85,-0.26,-0.81,0.009
22/09/2022,-1.14,-1.35,0.41,0.009
21/09/2022,-1.68,0.37,0.08,0.009
20/09/2022,-1.16,-0.21,0.05,0.009
19/09/2022,0.72,-0.15,0.66,0.009
16/09/2022,-0.98,-0.83,0.85,0.009
15/09/2022,-1.03,0.36,0.54,0.009
14/09/2022,0.44,-0.04,-0.28,0.009
13/09/2022,-4.29,-0.19,1.44,0.009
12/09/2022,1.07,0.28,-0.17,0.009
09/09/2022,1.67,0.53,-0.51,0.009
08/09/2022,0.78,-0.07,-0.2,0.009
07/09/2022,1.92,0.69,-1.53,0.009
06/09/2022,-0.51,-0.46,-0.52,0.009
02/09/2022,-0.99,-0.06,1.07,0.009
01/09/2022,-0.01,-1.11,-0.29,0.009
31/08/2022,-0.74,0.28,-0.44,0.008
30/08/2022,-1.11,-0.25,-0.24,0.008
29/08/2022,-0.72,-0.56,0.42,0.008
26/08/2022,-3.37,-0.55,1.69,0.008
25/08/2022,1.45,0.18,-0.01,0.008
24/08/2022,0.4,0.64,-0.62,0.008
23/08/2022,-0.11,0.02,0.33,0.008
22/08/2022,-2.14,-0.17,0.37,0.008
19/08/2022,-1.5,-1.16,0.96,0.008
18/08/2022,0.27,0.19,0.47,0.008
17/08/2022,-0.93,-1.17,1.04,0.008
16/08/2022,0.19,-0.35,0.71,0.008
15/08/2022,0.38,0.14,-0.64,0.008
12/08/2022,1.76,0.63,-0.75,0.008
11/08/2022,-0.07,-0.22,1.66,0.008
10/08/2022,2.36,1.15,-1.6,0.008
09/08/2022,-0.68,-1.83,2.11,0.008
08/08/2022,0,0.94,-0.08,0.008
05/08/2022,-0.05,0.89,-0.06,0.008
04/08/2022,-0.06,0.8,-1.65,0.008
03/08/2022,1.67,0.76,-1.92,0.008
02/08/2022,-0.49,0.91,-1.4,0.008
01/08/2022,-0.19,0.33,-0.26,0.008
29/07/2022,1.44,-0.96,0.45,0.004
28/07/2022,1.19,0.08,-0.87,0.004
27/07/2022,2.72,0.49,-1.27,0.004
26/07/2022,-1.32,0.09,1.06,0.004
25/07/2022,0.11,-0.31,1.68,0.004
22/07/2022,-1.19,-1.08,1.38,0.004
21/07/2022,0.97,0.05,-1.61,0.004
20/07/2022,0.89,1.48,-1.31,0.004
19/07/2022,2.8,0.91,-0.56,0.004
18/07/2022,-0.71,0.21,1.02,0.004
15/07/2022,1.95,-0.07,0.45,0.004
14/07/2022,-0.41,-0.27,-1.01,0.004
13/07/2022,-0.39,0.45,-0.39,0.004
12/07/2022,-0.88,0.74,0.51,0.004
11/07/2022,-1.39,-1.3,1.59,0.004
08/07/2022,-0.07,0.11,-0.06,0.004
07/07/2022,1.77,0.99,-0.98,0.004
06/07/2022,0.17,-0.75,-0.72,0.004
05/07/2022,0.49,1.78,-3.35,0.004
01/07/2022,1.15,0.03,0.11,0.004
30/06/2022,-0.96,0.41,-0.14,0.003
29/06/2022,-0.2,-0.45,-1.3,0.003
28/06/2022,-2.1,-0.35,2.36,0.003
27/06/2022,-0.28,0.57,1.24,0.003
24/06/2022,3.11,-0.37,-0.04,0.003
23/06/2022,1.13,0.8,-3.85,0.003
22/06/2022,-0.18,0.19,-1.77,0.003
21/06/2022,2.38,-0.75,0.23,0.003
17/06/2022,0.47,1.11,-2.62,0.003
16/06/2022,-3.52,-1.18,0.03,0.003
15/06/2022,1.55,0.28,-1.65,0.003
14/06/2022,-0.25,0.22,0.12,0.003
13/06/2022,-4.13,-0.67,0.62,0.003
10/06/2022,-3,0.11,0.62,0.003
09/06/2022,-2.44,0.31,0.26,0.003
08/06/2022,-1.02,-0.09,-0.53,0.003
07/06/2022,0.99,0.32,-0.15,0.003
06/06/2022,0.33,-0.01,0.65,0.003
03/06/2022,-1.63,0.85,0.53,0.003
02/06/2022,2.09,0.84,-2.07,0.003
01/06/2022,-0.75,0.19,0.79,0.003
31/05/2022,-0.71,-0.49,0.44,0.001
27/05/2022,2.58,0.37,-1.31,0.001
26/05/2022,2.18,0.19,-0.62,0.001
25/05/2022,1.22,0.79,0.21,0.001
24/05/2022,-1.23,-0.95,1.86,0.001
23/05/2022,1.74,-1.07,1.29,0.001
20/05/2022,-0.05,-0.12,-0.18,0.001
19/05/2022,-0.34,0.47,-0.8,0.001
18/05/2022,-4.04,0.21,1.54,0.001
17/05/2022,2.14,0.96,-0.05,0.001
16/05/2022,-0.6,-0.2,1.34,0.001
13/05/2022,2.76,0.9,-2.21,0.001
12/05/2022,0.17,1.28,-1.23,0.001
11/05/2022,-1.95,-1.11,2.59,0.001
10/05/2022,0.2,-0.22,-1.22,0.001
09/05/2022,-3.54,-0.51,1.38,0.001
06/05/2022,-0.85,-1.3,1.77,0.001
05/05/2022,-3.8,-0.78,2.37,0.001
04/05/2022,3,-0.46,0.24,0.001
03/05/2022,0.41,-0.17,1.62,0.001
02/05/2022,0.8,0.59,-1.15,0.001
29/04/2022,-3.53,0.74,0.59,0.001
28/04/2022,2.44,-0.2,-0.44,0.001
27/04/2022,0.12,-0.61,0.34,0.001
26/04/2022,-3,-0.67,1.8,0.001
25/04/2022,0.71,0.42,-1.83,0.001
22/04/2022,-2.74,0.31,-0.15,0.001
21/04/2022,-1.75,-0.72,0.42,0.001
20/04/2022,-0.28,0.19,1.26,0.001
19/04/2022,1.77,0.59,-0.95,0.001
18/04/2022,-0.21,-0.81,1.81,0.001
14/04/2022,-1.28,0.03,1.41,0.001
13/04/2022,1.4,0.93,-0.72,0.001
12/04/2022,-0.29,0.54,0.46,0.001
11/04/2022,-1.53,0.29,1.07,0.001
08/04/2022,-0.39,-0.99,2.24,0.001
07/04/2022,0.33,-0.61,-0.13,0.001
06/04/2022,-1.24,-0.65,1.08,0.001
05/04/2022,-1.54,-0.97,0.84,0.001
04/04/2022,0.94,-0.05,-1.88,0.001
01/04/2022,0.39,0.69,-0.59,0.001
31/03/2022,-1.55,0.72,-0.44,0
30/03/2022,-0.83,-1.27,0.4,0
29/03/2022,1.45,1.54,-1.93,0
28/03/2022,0.73,-0.56,-1.69,0
25/03/2022,0.27,-0.59,2.18,0
24/03/2022,1.42,-0.09,-0.79,0
23/03/2022,-1.26,-0.64,0.37,0
22/03/2022,1.31,0.04,-1.16,0
21/03/2022,-0.18,-1.11,1.59,0
18/03/2022,1.33,0.27,-1.85,0
17/03/2022,1.43,0.3,-1.1,0
16/03/2022,2.61,0.8,-1.84,0
15/03/2022,2.15,-0.12,-2.39,0
14/03/2022,-1.06,-1.34,1.77,0
11/03/2022,-1.49,-0.44,1.79,0
10/03/2022,-0.47,0.11,1.16,0
09/03/2022,2.8,0.32,-2.1,0
08/03/2022,-0.52,1.02,0.32,0
07/03/2022,-3.12,0.58,0.89,0
04/03/2022,-1.1,-0.66,0.68,0
03/03/2022,-0.88,-0.57,1.52,0
02/03/2022,1.81,0.41,1.34,0
01/03/2022,-1.56,-0.1,-0.8,0
28/02/2022,0.05,0.63,-0.5,0
25/02/2022,2.23,-0.4,1.2,0
24/02/2022,1.89,1.51,-3.86,0
23/02/2022,-1.96,-0.2,1.25,0
22/02/2022,-1.18,-0.48,0.11,0
18/02/2022,-0.87,-0.09,0.93,0
17/02/2022,-2.28,-0.28,1.1,0
16/02/2022,-0.02,-0.09,0.31,0
15/02/2022,1.87,1.33,-1.43,0
14/02/2022,-0.35,0.21,-0.59,0
11/02/2022,-1.92,0.6,2.13,0
10/02/2022,-1.69,-0.14,1.23,0
09/02/2022,1.61,0.23,-1.96,0
08/02/2022,1.02,0.68,-0.28,0
07/02/2022,-0.25,0.53,0.23,0
04/02/2022,0.89,-0.02,-0.6,0
03/02/2022,-2.49,-0.05,2.18,0
02/02/2022,0.48,-1.74,0.72,0
01/02/2022,0.87,0.06,0.65,0
31/01/2022,2.34,1.31,-2.86,0
28/01/2022,2.45,-0.14,-2.07,0
27/01/2022,-0.79,-1.64,0.78,0
26/01/2022,-0.3,-1.08,0.1,0
25/01/2022,-1.43,-0.61,2.79,0
24/01/2022,0.53,1.81,-0.25,0
21/01/2022,-2.1,0.28,0.49,0
20/01/2022,-1.14,-0.86,-0.23,0
19/01/2022,-1.01,-0.33,-0.67,0
18/01/2022,-2.08,-1.04,1.37,0
14/01/2022,0.08,0.18,0.54,0
13/01/2022,-1.57,0.31,2.41,0
12/01/2022,0.12,-0.89,0.5,0
11/01/2022,1.1,-0.08,-0.3,0
10/01/2022,-0.15,-0.23,-0.28,0
07/01/2022,-0.48,-1.31,2.01,0
06/01/2022,0,0.21,1.75,0
05/01/2022,-2.28,-1.46,2.6,0
04/01/2022,-0.29,-0.83,3.63,0
03/01/2022,0.73,0.33,0.77,0
31/12/2021,-0.31,0.04,0.53,0
30/12/2021,-0.15,0.1,-0.4,0
29/12/2021,0.06,-0.07,0.17,0
28/12/2021,-0.27,-0.6,0.81,0
27/12/2021,1.22,-0.11,0.3,0
23/12/2021,0.71,0.35,-0.48,0
22/12/2021,0.97,0.26,-0.36,0
21/12/2021,2.06,0.81,0.19,0
20/12/2021,-1.27,-0.15,-0.41,0
17/12/2021,-0.65,1.89,-2.32,0
16/12/2021,-1.2,-1.6,2.78,0
15/12/2021,1.62,0.38,-1.91,0
14/12/2021,-0.76,-0.67,1.64,0
13/12/2021,-1.04,-0.3,-0.99,0
10/12/2021,0.7,-0.83,0.5,0
09/12/2021,-1.07,-1.37,1.57,0
08/12/2021,0.47,0.65,-0.83,0
07/12/2021,2.22,0.2,-1.79,0
06/12/2021,1.19,0.76,0.62,0
03/12/2021,-1.21,-1.13,1.07,0
02/12/2021,1.51,0.72,1.26,0
01/12/2021,-1.61,-0.8,1.11,0
30/11/2021,-1.95,0.52,-1.13,0
29/11/2021,1.11,-1.02,-0.78,0
26/11/2021,-2.22,-1.23,-0.92,0
24/11/2021,0.3,0.03,-0.87,0
23/11/2021,-0.04,-0.52,1.74,0
22/11/2021,-0.61,-0.55,2.76,0
19/11/2021,-0.2,-0.17,-1.28,0
18/11/2021,0.06,-0.57,-0.07,0
17/11/2021,-0.47,-0.55,-0.25,0
16/11/2021,0.5,0.04,-0.71,0
15/11/2021,-0.02,-0.54,0.7,0
12/11/2021,0.74,-0.32,-0.91,0
11/11/2021,0.24,0.54,0.33,0
10/11/2021,-1.07,-0.65,0.93,0
09/11/2021,-0.35,-0.18,0.45,0
08/11/2021,0.18,0.02,0.06,0
05/11/2021,0.38,0.68,1.2,0
04/11/2021,0.39,-0.02,-1.37,0
03/11/2021,0.8,1.45,-0.13,0
02/11/2021,0.24,-0.29,-0.54,0
01/11/2021,0.51,2.02,0.44,0
29/10/2021,0.22,0.2,-0.83,0
28/10/2021,1.14,0.87,-0.49,0
27/10/2021,-0.76,-0.74,-1.18,0
26/10/2021,0.04,-0.7,-0.31,0
25/10/2021,0.58,0.49,-0.15,0
22/10/2021,-0.25,-0.24,1.01,0
21/10/2021,0.37,0.21,-0.95,0
20/10/2021,0.34,-0.02,1.18,0
19/10/2021,0.71,-0.49,-0.22,0
18/10/2021,0.41,-0.25,-0.01,0
15/10/2021,0.63,-1.2,0.3,0
14/10/2021,1.65,-0.34,-0.27,0
13/10/2021,0.43,0.14,-1.06,0
12/10/2021,-0.06,0.63,-0.44,0
11/10/2021,-0.72,0.32,-0.28,0
08/10/2021,-0.28,-0.6,1.12,0
07/10/2021,1.01,0.53,-0.17,0
06/10/2021,0.33,-0.87,-0.48,0
05/10/2021,1.05,-0.52,-0.07,0
04/10/2021,-1.43,-0.03,2.33,0
01/10/2021,1.1,0.4,0.5,0
30/09/2021,-1.02,0.32,-0.78,0
29/09/2021,0.03,-0.3,0.81,0
28/09/2021,-2.18,-0.44,1.76,0
27/09/2021,-0.1,1.25,2.43,0
24/09/2021,0.08,-0.47,0.7,0
23/09/2021,1.28,0.36,0.92,0
22/09/2021,1,0.17,0.53,0
21/09/2021,0.05,0.45,-0.67,0
20/09/2021,-1.87,-0.58,0.23,0
17/09/2021,-0.72,1,-0.06,0
16/09/2021,-0.03,0.04,-0.55,0
15/09/2021,0.88,0.02,0.63,0
14/09/2021,-0.66,-0.51,-0.96,0
13/09/2021,0.14,-0.05,1.34,0
10/09/2021,-0.76,-0.1,0.02,0
09/09/2021,-0.27,0.23,0.09,0
08/09/2021,-0.34,-0.81,0.08,0
07/09/2021,-0.36,-0.14,-0.09,0
03/09/2021,-0.01,-0.38,-0.25,0
02/09/2021,0.36,0.11,-0.04,0
01/09/2021,0.11,0.59,-0.94,0
31/08/2021,-0.13,0.44,-0.05,0
30/08/2021,0.35,-0.35,-1.37,0
27/08/2021,1.07,1.62,0.3,0
26/08/2021,-0.65,-0.4,-0.31,0
25/08/2021,0.26,-0.04,0.36,0
24/08/2021,0.41,0.36,0.36,0
23/08/2021,1.08,0.93,-0.85,0
20/08/2021,0.92,1,-0.48,0
19/08/2021,-0.15,-0.8,-0.81,0
18/08/2021,-0.95,0.12,-0.19,0
17/08/2021,-0.8,-0.44,-0.11,0
16/08/2021,-0.05,-0.85,0.05,0
13/08/2021,0,-0.85,-0.25,0
12/08/2021,0.24,-0.59,-0.4,0
11/08/2021,0.19,-0.01,1.41,0
10/08/2021,0.06,-0.01,1.82,0
09/08/2021,0.01,-0.35,-0.27,0
06/08/2021,0.09,0.04,1.9,0
05/08/2021,0.74,1.14,-0.11,0
04/08/2021,-0.39,-0.61,-1.57,0
03/08/2021,0.73,-0.48,0.92,0
02/08/2021,-0.12,-0.15,-0.41,0
30/07/2021,-0.65,-0.07,-0.17,0
29/07/2021,0.41,-0.01,0.94,0
28/07/2021,0.27,1.41,-0.65,0
27/07/2021,-0.66,-0.66,0.6,0
26/07/2021,0.18,-0.09,1.33,0
23/07/2021,0.98,-0.1,-0.46,0
22/07/2021,0.09,-1.34,-1.01,0
21/07/2021,0.95,0.63,0.79,0
20/07/2021,1.69,0.79,0.16,0
19/07/2021,-1.41,0.31,-1.74,0
16/07/2021,-0.77,-0.23,-1.25,0
15/07/2021,-0.38,-0.35,0.78,0
14/07/2021,-0.26,-1.16,0.35,0
13/07/2021,-0.56,-1.13,-0.41,0
12/07/2021,0.23,-0.17,0.56,0
09/07/2021,1.25,0.61,1.57,0
08/07/2021,-0.86,0.15,-0.77,0
07/07/2021,0.09,-0.92,0.08,0
06/07/2021,-0.28,-0.65,-1.98,0
02/07/2021,0.56,-1.33,-0.71,0
01/07/2021,0.43,0.37,0.42,0
30/06/2021,0.07,-0.12,0.76,0
29/06/2021,0,-0.25,-0.29,0
28/06/2021,0.22,-0.49,-1.6,0
25/06/2021,0.31,-0.7,0.43,0
24/06/2021,0.69,0.65,0.23,0
23/06/2021,0.01,0.55,-0.29,0
22/06/2021,0.58,0.04,-0.43,0
21/06/2021,1.34,0.59,1.06,0
18/06/2021,-1.22,-0.42,-1.44,0
17/06/2021,0.01,-0.49,-3.57,0
16/06/2021,-0.45,0.44,0.2,0
15/06/2021,-0.3,-0.03,1.3,0
14/06/2021,0.15,-0.31,-1.61,0
11/06/2021,0.37,0.67,0.18,0
10/06/2021,0.4,-0.89,-2.04,0
09/06/2021,-0.3,-0.29,-0.84,0
08/06/2021,0.19,1.15,-0.31,0
07/06/2021,0.15,1.57,-0.96,0
04/06/2021,0.89,-0.36,-0.89,0
03/06/2021,-0.53,-0.53,0.72,0
02/06/2021,0.12,-0.12,0.31,0
01/06/2021,0.03,1.11,1.45,0
28/05/2021,0.04,-0.3,-0.3,0
27/05/2021,0.28,0.8,0.94,0
26/05/2021,0.47,1.77,0.56,0
25/05/2021,-0.3,-0.61,-1.23,0
24/05/2021,0.99,-0.37,-0.69,0
21/05/2021,-0.04,0.22,0.98,0
20/05/2021,1.15,-0.11,-1.42,0
19/05/2021,-0.34,-0.37,-0.46,0
18/05/2021,-0.69,0.26,-0.94,0
17/05/2021,-0.24,0.6,0.83,0
14/05/2021,1.81,0.98,-0.15,0
13/05/2021,1.02,0.26,1.14,0
12/05/2021,-2.34,-1.33,0.71,0
11/05/2021,-0.63,0.96,-0.89,0
10/05/2021,-1.36,-1.68,1.7,0
07/05/2021,0.84,0.43,-0.09,0
06/05/2021,0.48,-0.83,1.2,0
05/05/2021,-0.06,-0.46,1.34,0
04/05/2021,-0.89,-0.75,2,0
03/05/2021,0.17,0.43,1.7,0
30/04/2021,-0.83,-0.43,-0.33,0
29/04/2021,0.39,-1.14,1.09,0
28/04/2021,-0.06,0.2,0.19,0
27/04/2021,-0.03,-0.16,0.84,0
26/04/2021,0.43,0.87,-0.5,0
23/04/2021,1.26,0.75,0.7,0
22/04/2021,-0.77,0.65,-0.76,0
21/04/2021,1.11,1.39,0.1,0
20/04/2021,-0.94,-1.18,-1.56,0
19/04/2021,-0.73,-0.77,0.79,0
16/04/2021,0.27,-0.36,0.65,0
15/04/2021,1.04,-0.44,-1.19,0
14/04/2021,-0.35,0.79,1.41,0
13/04/2021,0.41,-0.28,-1.61,0
12/04/2021,-0.05,-0.62,0.58,0
09/04/2021,0.65,-0.64,0.14,0
08/04/2021,0.62,0.59,-1.16,0
07/04/2021,-0.12,-1.61,0.32,0
06/04/2021,0.01,-0.32,0.1,0
05/04/2021,1.27,-0.59,-0.71,0
01/04/2021,1.27,0.29,0,0
31/03/2021,0.63,1.11,-2.33,0
30/03/2021,-0.02,1.54,1,0
29/03/2021,-0.49,-2.4,-0.23,0
26/03/2021,1.55,0.18,0.69,0
25/03/2021,0.67,1.68,1.39,0
24/03/2021,-1.01,-1.97,1.47,0
23/03/2021,-1.17,-2.71,-1.04,0
22/03/2021,0.55,-1.2,-2.21,0
19/03/2021,0.25,1.26,-0.99,0
18/03/2021,-1.88,-1.75,2.18,0
17/03/2021,0.33,0.47,0.33,0
16/03/2021,-0.43,-1.11,-0.83,0
15/03/2021,0.7,-0.11,-1.29,0
12/03/2021,0.1,0.13,1.3,0
11/03/2021,1.44,1.6,-2.02,0
10/03/2021,0.68,0.77,1.82,0
09/03/2021,1.79,1.29,-3.24,0
08/03/2021,-0.67,0.61,3.7,0
05/03/2021,1.85,0.21,0.62,0
04/03/2021,-1.7,-1.36,1.71,0
03/03/2021,-1.57,-0.19,3.57,0
02/03/2021,-1.05,-1.09,1.24,0
01/03/2021,2.63,1.09,0.23,0
26/02/2021,-0.28,0.66,-1.57,0
25/02/2021,-2.74,-1.14,0.92,0
24/02/2021,1.15,1.21,1.41,0
23/02/2021,-0.15,-1.27,0.9,0
22/02/2021,-1.13,-0.06,3.16,0
19/02/2021,0.16,1.78,0.71,0
18/02/2021,-0.63,-1.55,-0.19,0
17/02/2021,-0.21,-0.85,0.61,0
16/02/2021,-0.14,-0.61,1.88,0
12/02/2021,0.49,-0.14,0.49,0
11/02/2021,0.19,-0.22,-0.43,0
10/02/2021,-0.08,-0.47,0.64,0
09/02/2021,0.05,0.71,-0.17,0
08/02/2021,0.96,2.11,0.39,0
05/02/2021,0.58,1.07,-0.47,0
04/02/2021,1.23,0.38,0.37,0
03/02/2021,0.15,0.43,0.7,0
02/02/2021,1.48,-0.85,-1.08,0
01/02/2021,1.73,0.93,-1.47,0
29/01/2021,-1.84,0.59,0.58,0
28/01/2021,0.92,-1.93,-0.91,0
27/01/2021,-2.53,1.33,1.55,0
26/01/2021,-0.32,0.02,0.01,0
25/01/2021,0.29,-0.05,-0.41,0
22/01/2021,-0.07,1.87,-0.12,0
21/01/2021,-0.04,-0.55,-0.94,0
20/01/2021,1.26,-0.39,-1.08,0
19/01/2021,0.92,0.88,-0.8,0
15/01/2021,-0.86,-0.49,-0.76,0
14/01/2021,-0.11,2.03,1.11,0
13/01/2021,0.07,-0.93,-0.45,0
12/01/2021,0.38,1.29,1.21,0
11/01/2021,-0.51,0.26,1.26,0
08/01/2021,0.51,-0.75,-1.38,0
07/01/2021,1.76,0.33,-0.83,0
06/01/2021,0.79,2.14,3.93,0
05/01/2021,0.86,1.23,0.48,0
04/01/2021,-1.41,0.22,0.58,0
31/12/2020,0.39,-0.89,0.41,0
30/12/2020,0.27,1.01,0.03,0
29/12/2020,-0.4,-1.53,0.24,0
28/12/2020,0.46,-0.73,0.36,0
24/12/2020,0.21,-0.41,-0.19,0
23/12/2020,0.1,0.38,2.03,0
22/12/2020,0.06,1.21,-1.61,0
21/12/2020,-0.23,0.13,-0.05,0
18/12/2020,-0.12,0.07,-1.17,0
17/12/2020,0.79,0.69,-0.71,0
16/12/2020,0.17,-0.43,-0.38,0
15/12/2020,1.28,1.08,0.36,0
14/12/2020,-0.28,0.58,-1.52,0
11/12/2020,-0.2,-0.38,-0.71,0
10/12/2020,0.24,1.12,-0.47,0
09/12/2020,-1.03,-0.06,1.28,0
08/12/2020,0.47,1.02,-0.71,0
07/12/2020,0.03,0.24,-1.02,0
04/12/2020,1.02,1.47,0.84,0
03/12/2020,0.18,0.5,-0.09,0
02/12/2020,0.11,-0.09,1.07,0
01/12/2020,0.98,-0.26,0.54,0
30/11/2020,-0.53,-0.99,-2.07,0
27/11/2020,0.43,0.47,-1.62,0
25/11/2020,0.03,0,-1.33,0
24/11/2020,1.56,-0.11,2.76,0
23/11/2020,0.83,0.87,1.57,0
20/11/2020,-0.51,0.68,-0.61,0
19/11/2020,0.59,0.47,-0.76,0
18/11/2020,-0.93,-0.03,0.02,0
17/11/2020,-0.19,0.61,0,0
16/11/2020,1.22,0.78,2,0
13/11/2020,1.31,0.61,1.14,0
12/11/2020,-0.94,-0.23,-1.18,0
11/11/2020,0.88,-0.56,-1.75,0
10/11/2020,-0.17,1.56,2.16,0
09/11/2020,0.86,0.8,6.74,0
06/11/2020,0.01,-0.86,-0.93,0
05/11/2020,2.13,1,0.52,0
04/11/2020,2.25,-1.48,-5,0
03/11/2020,1.93,1,-0.2,0
02/11/2020,1.17,0.53,0.99,0
30/10/2020,-1.45,-0.8,1.86,0
29/10/2020,1.13,0.17,0.27,0
28/10/2020,-3.41,0.01,0.58,0
27/10/2020,-0.23,-0.07,-2.33,0
26/10/2020,-1.85,-0.28,-0.39,0
23/10/2020,0.38,0.42,0.04,0
22/10/2020,0.67,0.61,1.03,0
21/10/2020,-0.36,-0.47,0.41,0
20/10/2020,0.34,-0.24,1.26,0
19/10/2020,-1.53,0.35,0.3,0
16/10/2020,-0.06,-0.18,0.06,0
15/10/2020,-0.08,0.89,1.14,0
14/10/2020,-0.65,0.09,0.03,0
13/10/2020,-0.41,0.18,-1.72,0
12/10/2020,1.53,-0.84,-0.09,0
09/10/2020,0.93,0.01,-1.41,0
08/10/2020,0.8,0.02,0.99,0
07/10/2020,1.84,0.53,0.22,0
06/10/2020,-1.28,0.74,0.26,0
05/10/2020,1.93,1.02,-0.11,0
02/10/2020,-0.96,1.08,2.44,0
01/10/2020,0.79,1.04,-0.54,0
30/09/2020,0.79,-0.73,0.15,0
29/09/2020,-0.42,0.76,-1.33,0
28/09/2020,1.66,0.72,1.05,0
25/09/2020,1.72,0.15,-1.34,0
24/09/2020,0.25,-0.21,0.38,0
23/09/2020,-2.48,-0.71,0.16,0
22/09/2020,1.02,-0.14,-1.63,0
21/09/2020,-1.08,-2.03,-1.88,0
18/09/2020,-0.88,0.79,-0.21,0
17/09/2020,-0.85,0.36,0.2,0
16/09/2020,-0.39,0.76,1.31,0
15/09/2020,0.57,-0.27,-1.43,0
14/09/2020,1.59,1.19,-0.8,0
11/09/2020,-0.06,-0.84,0.89,0
10/09/2020,-1.64,0.3,-0.07,0
09/09/2020,2.07,-0.17,-2,0
08/09/2020,-2.91,0.66,-0.28,0
04/09/2020,-0.87,-0.17,2.06,0
03/09/2020,-3.7,-0.23,2.6,0
02/09/2020,1.27,-0.5,-0.45,0
01/09/2020,0.92,0.45,-0.3,0
31/08/2020,-0.04,-0.42,-1.76,0
28/08/2020,0.7,0.27,-0.23,0
27/08/2020,0.18,-0.34,0.95,0
26/08/2020,1,-1.17,-1.74,0
25/08/2020,0.36,0.15,-0.65,0
24/08/2020,0.92,-0.37,2.6,0
21/08/2020,0.26,-1.09,-0.43,0
20/08/2020,0.31,-0.52,-1.54,0
19/08/2020,-0.38,0.47,0.1,0
18/08/2020,0.22,-1.06,-1.42,0
17/08/2020,0.45,0.59,-1.93,0
